Category,Subcategory,Category_id,Subcategory_id,Links
Adapter,Adapter,1,2,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DAdapters%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Adapter,Waveguide Adapter,1,97,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2BBulkhead%2BAdapters%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Adapter,Waveguide Adapter,1,97,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2BTo%2BCoax%2BAdapters%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
,,,,
Amplifier,Amplifier,2,4,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DBi%2520Directional%2520Amplifiers%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Amplifier,Amplifier,2,4,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DBroadband%2BAmplifiers%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Amplifier,Amplifier,2,4,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DGain%2BBlock%2BAmplifiers%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Amplifier,Amplifier,2,4,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DLimiting%2BAmplifiers%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Amplifier,Low Noise Amplifier,2,50,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DLow%2520Noise%2520Amplifiers%26Rfacamln99design%3DInput%2BProtected%2BLow%2BNoise%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Amplifier,Low Noise Amplifier,2,50,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DLow%2BNoise%2BAmplifiers%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Amplifier,Low Phase Noise Amplifier,2,52,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DLow%2BNoise%2BAmplifiers%26Rfacamln99design%3DLow%2BPhase%2BNoise%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Amplifier,Power Amplifier,2,67,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DPower%2520Amplifiers%26Rfacampa99con4incondmtl%3DGaN%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Amplifier,Power Amplifier,2,67,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DPower%2BAmplifiers%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Amplifier,VGA Amplifier,2,90,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DVariable%2BGain%2BAmplifiers%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
,,,,
Antenna,Antenna,3,6,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DAntennas%26Rfpsan99design%3DPortable%5EFixed%26sort%3Dy%26initial_sort%3Dselect%3AASC%26res_per_page%3D48%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Antenna,Waveguide Antenna,3,99,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DSpecialty%2BWaveguide%2BAntennas%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Antenna,Waveguide Antenna,3,99,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2BAntennas%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
